review_id,aspect,sentiment,confidence,quote
R001,performance,negative,0.88,После последнего обновления приложение открывается почти минуту и часто зависает на экране бюджета.
R001,design,negative,0.88,После последнего обновления приложение открывается почти минуту и часто зависает на экране бюджета.
R002,reliability,negative,0.88,"Два раза за неделю пропала синхронизация с банком, операции появились только после ручного обновления."
R003,design,neutral,0.76,"Интерфейс стал аккуратнее, но кнопка добавления расхода спрятана слишком глубоко."
R004,price,negative,0.88,"Подписка подорожала, а семейный доступ так и не появился."
R005,ads,negative,0.88,Реклама всплывает сразу после входа и перекрывает баланс.
R006,performance,negative,0.76,"Единственное раздражает, что темная тема иногда сбрасывается после перезапуска."
R006,design,positive,0.76,Нравится чистый дизайн и понятные графики по категориям.
R007,support,negative,0.88,Чат поддержки ответил через три дня и прислал шаблонную инструкцию.
R007,reliability,negative,0.88,Проблему с дублированием операций мне пришлось решать самому.
R008,reliability,negative,0.88,Приложение вылетает при попытке прикрепить чек к расходу.
R009,performance,positive,0.76,"Быстро добавляю траты голосом, распознавание работает почти без ошибок."
R010,design,neutral,0.76,"В целом приложение полезное, но стартовый экран перегружен карточками и акциями."
R010,ads,neutral,0.76,"В целом приложение полезное, но стартовый экран перегружен карточками и акциями."
R011,support,negative,0.88,"Поддержка говорит, что это рекомендации, но выглядят они как обычная реклама."
R011,price,negative,0.88,"После оплаты премиума реклама не исчезла полностью, остались промо-карточки партнеров."
R011,ads,negative,0.88,"После оплаты премиума реклама не исчезла полностью, остались промо-карточки партнеров."
R012,reliability,negative,0.88,"Не пришел код входа, а повторная отправка стала доступна только через десять минут."
R013,price,positive,0.76,Хотелось бы дешевле годовой тариф для студентов.
R014,performance,negative,0.88,После обновления приложение стало сильно греть телефон и быстро сажать батарею.
R015,design,neutral,0.76,"Крупные шрифты помогают, но часть подписей обрезается на маленьком экране."
R015,price,neutral,0.76,"Крупные шрифты помогают, но часть подписей обрезается на маленьком экране."
R016,performance,negative,0.88,Экспорт отчета завис на 72 процентах и файл так и не сформировался.
R016,price,negative,0.88,Платить за премиум без стабильного экспорта бессмысленно.
R017,support,negative,0.88,"Оператор поддержки попросил скриншоты, а потом неделю не возвращался с ответом."
R018,price,neutral,0.76,"Для теста приложения этого мало, приходится сразу решать про подписку."
R019,reliability,negative,0.88,Уведомления о превышении бюджета приходят с задержкой на несколько часов.
R020,performance,negative,0.76,"После последнего патча запуск стал быстрее, экран операций открывается почти сразу."
R020,design,negative,0.76,"После последнего патча запуск стал быстрее, экран операций открывается почти сразу."
R020,ads,positive,0.76,Но рекламный баннер внизу все еще отвлекает.
R021,reliability,negative,0.88,Приложение дважды создало одинаковые расходы после синхронизации.
R022,design,neutral,0.76,"Цвета графиков красивые, но легенда слишком мелкая."
R023,support,negative,0.88,Поддержка не смогла ускорить процесс и посоветовала ждать.
R024,price,negative,0.88,"Цена премиума выглядит завышенной, потому что часть функций все равно спрятана за отдельными пакетами."
R025,ads,negative,0.88,"Видео-реклама включилась со звуком в метро, когда я открывал баланс."
R026,performance,negative,0.76,Хотелось бы быстрее получать ответ по вопросам импорта.
R026,support,negative,0.76,Хотелось бы быстрее получать ответ по вопросам импорта.
R027,performance,negative,0.88,На старом смартфоне экран бюджета прокручивается рывками.
R027,design,negative,0.88,На старом смартфоне экран бюджета прокручивается рывками.
R028,design,neutral,0.76,"В приложении много полезных отчетов, но навигация между ними запутанная."
R029,reliability,negative,0.88,После переустановки пропали пользовательские категории.
R030,performance,negative,0.88,"Это ломает сценарий, когда быстро заносишь несколько покупок подряд."
R030,price,negative,0.88,"Это ломает сценарий, когда быстро заносишь несколько покупок подряд."
R030,ads,negative,0.88,В бесплатной версии реклама появляется после каждого третьего действия.
R031,design,neutral,0.76,"Экран подписки объясняет тарифы понятнее, чем раньше."
R031,price,neutral,0.76,"Экран подписки объясняет тарифы понятнее, чем раньше."
R032,performance,negative,0.88,Сканер чеков часто зависает на обработке фотографии.
R033,support,positive,0.76,Поддержка помогла перенести данные со старого телефона за один вечер.
R033,price,negative,0.76,"После этого я оставил подписку, хотя цена все равно кажется высокой."
R034,design,negative,0.88,"Главный экран после редизайна стал красивым, но важные суммы находятся ниже рекламного блока."
R034,ads,negative,0.88,"Главный экран после редизайна стал красивым, но важные суммы находятся ниже рекламного блока."
R035,reliability,negative,0.88,Приложение не сохранило расход после потери сети.
R036,design,neutral,0.76,"Виджеты удобные, но обновляются не сразу."
R037,support,negative,0.88,"Подписку отменить сложно: ссылка спрятана в настройках, а инструкция в FAQ устарела."
R037,price,negative,0.88,"Подписку отменить сложно: ссылка спрятана в настройках, а инструкция в FAQ устарела."
R038,performance,negative,0.76,"Если бы еще приложение быстрее запускалось на слабых телефонах, поставил бы пять."
R038,ads,negative,0.76,"Мне нравится, что реклама внизу не мешает отчетам."
R039,support,negative,0.88,"Поддержка признала ошибку, но срок исправления не назвала."
R039,reliability,negative,0.88,"Поддержка признала ошибку, но срок исправления не назвала."
R040,design,neutral,0.76,"После каждого отчета появляется экран покупки, и это утомляет."
R040,price,neutral,0.76,"Приложение полезное для контроля расходов, но слишком часто предлагает премиум."
R040,ads,neutral,0.76,"После каждого отчета появляется экран покупки, и это утомляет."
